code,source_mode,matcher,det_conf,scale_factor,width_mm,height_mm,outer_perimeter_mm,total_cut_length_mm,closure_gap_mm,match_score,dxf_version,output_file
3001009643,reference_cv_normalization,dl,,1.0,3360.0,460.0,7569.705627484771,7569.705627484771,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009643_L7569.71mm.dxf
3001009644,dwg_cv_match_cascade,dl,,15.0,2005.0000000001205,280.000000000025,4624.000000000222,4624.000000000222,0.0,0.004884481430053711,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009644_L4624.00mm.dxf
3001009645,reference_cv_normalization,dl,,1.0,2004.9999999999964,720.9999999999999,5557.999999999993,5825.035375555125,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009645_L5558.00mm.dxf
3001009646,dwg_cv_match,dl,0.8559571504592896,15.0,735.0000000000546,250.00000000000625,1791.0337457723042,1791.0337457723042,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009646_L1791.03mm.dxf
3001009649,dwg_cv_match,dl,0.6285395622253418,15.0,735.0000293416474,419.9999868869787,2336.6504852191392,2336.6504852191392,0.02238418223750175,0.0023926496505737305,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009649_L2336.65mm.dxf
3001009650,dwg_cv_match,dl,0.8114071488380432,15.0,134.00000000008276,90.00000000000512,413.49074038804827,413.49074038804827,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009650_L413.49mm.dxf
3001009652,dwg_cv_match,dl,0.6479606032371521,15.0,140.00000000000227,209.9999999999966,618.0865204668467,618.0865204668467,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009652_L618.09mm.dxf
3001009653,dwg_cv_match_cascade,dl,,15.0,125.0000000000091,469.9999999999784,1158.9414711402346,1158.9414711402346,0.0,0.019318461418151855,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009653_L1158.94mm.dxf
3001009654,dwg_cv_match,dl,0.6594130396842957,15.0,250.00000000000455,149.99999999996226,723.606797749911,723.606797749911,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009654_L723.61mm.dxf
3001009655,reference_cv_normalization,dl,,1.0,2348.000000000002,430.0,5726.247779607698,5726.247779607698,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009655_L5726.25mm.dxf
3001009659,dwg_cv_match,dl,0.6175024509429932,15.0,545.0000238418647,419.9999868869668,1956.7057203939344,1956.7057203939344,0.03149618646600047,0.002123892307281494,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009659_L1956.71mm.dxf
3001009661,dwg_cv_match,dl,0.7445042729377747,15.0,545.0000143053148,180.0,1329.046781730084,1329.046781730084,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009661_L1329.05mm.dxf
3001009663,dwg_cv_match,dl,0.7064424157142639,15.0,250.00000000000455,194.99999999996206,792.0323865406397,792.0323865406397,0.0,0.003924190998077393,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009663_L792.03mm.dxf
3001009664,dwg_cv_template_repair,dl,0.5529116988182068,1.0,340.0,300.0000000000009,1445.6637061435918,1634.1592653589794,15.0,0.0058408379554748535,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009664_L1445.66mm.dxf
3001009667,dwg_cv_match,dl,0.7880327701568604,15.0,209.99999999999318,419.9999868869685,1132.3105373632852,1132.3105373632852,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009667_L1132.31mm.dxf
3001009670,dwg_cv_match_cascade,dl,,15.0,200.00000000000227,250.00000000000455,884.3104619126514,884.3104619126514,0.0,0.009636759757995605,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009670_L884.31mm.dxf
3001009673,dwg_cv_match,dl,0.6366416215896606,15.0,546.0000000001855,419.9999868869651,1848.2770154045136,1848.2770154045136,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009673_L1848.28mm.dxf
3001009678,dwg_cv_match_cascade,dl,,15.0,2143.0000000000564,280.0000000000267,4900.000000000076,4900.000000000076,0.0,5.960464477539063e-08,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009678_L4900.00mm.dxf
3001009684,reference_cv_normalization,dl,,1.0,2348.0,450.0000000000018,5766.2477796076955,5766.2477796076955,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009684_L5766.25mm.dxf
3001009686,dwg_cv_match,dl,0.6830410957336426,15.0,530.0000000000023,420.0,1862.0994634908625,1862.0994634908625,0.0,0.0,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009686_L1862.10mm.dxf
3001009690,dwg_cv_match,dl,0.6658382415771484,15.0,108.00000957233124,159.99999682247164,488.31546945128446,488.31546945128446,3.1355581911979825e-05,5.960464477539063e-08,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009690_L488.32mm.dxf
3001009691,dwg_cv_match_cascade,dl,,15.0,460.0000000000523,420.0000000000375,1731.1823724334656,1731.1823724334656,0.0,5.960464477539063e-08,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009691_L1731.18mm.dxf
3001009694,dwg_cv_match,dl,0.6029543280601501,15.0,399.9999999999977,470.0000000000023,2531.9203371761246,2531.9203371761246,0.0,4.9114227294921875e-05,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3001009694_L2531.92mm.dxf
3011160395,reference_cv_normalization,dl,,1.0,1260.0,420.0,3360.0,3514.2477796076755,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3011160395_L3360.00mm.dxf
3011160821,reference_cv_normalization,dl,,1.0,1375.000000000131,2004.9999999999236,6759.999999999578,10293.805208363628,0.0,,AC1018,C:\Users\Administrator\Desktop\cad图纸任务\cad_cv_demo\output\dxf\3011160821_L6760.00mm.dxf
